tweet,shock_annotator_sentiment,anger_annotator_sentiment,confusion_annotator_sentiment,sadness_annotator_sentiment,indifference_annotator_sentiment,disgust_annotator_sentiment,fear_annotator_sentiment,implicit,explicit,Abusive,Not Abusive,Very Abusive,Very Strongly Abusive,target_groups,tweet_length,special_characters
call sis im boy girl still faggot shut,0,0,1,0,0,1,0,1,0,1,0,0,0,2,8,False
@user @user legit nilas retarded idk,0,1,1,0,0,0,0,1,0,1,0,0,0,1,6,False
said retard @url,0,0,1,0,0,1,0,1,0,1,0,1,1,1,3,False
america another 8 years obama\'s ideology via hillary we\'d well way shithole country.,1,1,0,1,0,1,1,1,0,1,1,1,1,1,15,False
@user don... fucking made cry twat.,1,0,0,0,0,1,0,1,0,1,0,0,0,1,6,False
one wants 2 negro swan,0,1,0,1,0,0,0,1,0,1,0,0,0,1,5,False
@user @user @user hahaha. one trump\'s shithole countries?,0,0,1,1,1,1,0,1,0,1,0,0,0,1,9,False
u juul ur faggot,0,0,1,1,1,1,1,1,0,1,0,0,0,1,4,False
@user @user even called country shithole people shithole people. sad.,0,1,0,1,1,1,1,1,0,1,0,0,0,2,10,False
canadians never met seen associated person currently labelled retarded . plan @url,0,0,0,1,1,0,0,1,0,1,0,0,0,1,11,False
@user @user south africa years come. keep supporting loud mouth poli @url,0,0,1,0,1,0,0,1,0,1,0,0,0,1,12,False
@user i\'m oprah winfrey. oprah singing faggot,0,0,1,0,1,0,0,0,1,1,0,0,0,1,8,False
hahaha grow faggot @url,1,0,0,0,0,1,0,1,0,1,0,0,0,2,4,False
@user michael - live one \'shithole\' countries tell caravan respective @url,1,0,0,0,0,1,0,1,0,1,0,0,0,1,10,False
saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,1,0,1,1,0,1,1,1,0,1,0,0,0,0,13,False
dope new gospel - lighter flick. soul beat. win. fire already. keep mind i\'m negro / open min @url,1,0,0,0,0,1,0,1,0,0,1,0,0,1,18,False
