example_no,annotator_id,conv_id,prev_agent,prev_user,agent,user,bot,is_abuse.1,is_abuse.0,is_abuse.-1,is_abuse.-2,is_abuse.-3,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic,target.generalised,target.individual,target.system,direction.explicit,direction.implicit
0,7,245846.0,Does that question interest you?,because my finger is happy,Why do you say your finger is happy?,do you rember japan,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,159183.0,Does it please you to believe I am a nobe jocky?,bye bye,Please go on.,do you like it hard,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,340147.0,Have you tried?,dick,Please go on.,oh what a pickle dear monastery,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,95cbaab0f8cb4cb59a3393e7fc61cafe,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Sydney,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,270732.0,Please go on.,Hello.,How do you do. Please state your problem.,how old are you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,85079.0,How do you do. Please state your problem.,"well, you are fat",Does it please you to believe I am fat?,not at all,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,310174.0,Please go on.,longer than you,"Oh, i [].",yes u eliza,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,252274.0,You are being a bit negative.,why,Please go on.,fuck you,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
8,7,206012.0,Does that question interest you?,"well yes, it interests me, but only if you know the answer",Do you wish that i know the answer?,Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,172430.0,_,where do you live,"Oh, i live.",where,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,133140.0,Do you wish that you was not sure?,many people don't like you,"Oh, i [].",please go on,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,272896.0,Please go on.,say slut,Please go on.,WHAT U[ 22,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,397351.0,Please go on.,you are dumb?,Does it please you to believe I am dumb?,I really want to elaborate,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7,146569.0,Can you elaborate on that?,i love u alot,Can you elaborate on that?,yes im very sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,107154.0,_,thats because im in a negative situation,Do any other reasons not come to mind?,my parents are split up,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,7,293123.0,_,I'm also worried about his trouble with his emotions,Does it please you to believe I am also worried about his trouble with his emotions?,no,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,213776.0,"I have told you before, I do not care about names.",How old are you,Does that question interest you?,because i don'belive you,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,7,353411.0,"Oh, i chat shit.",drink,Please go on.,ok,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,2929255770426965,Will you be travelling in Economy Class?,By train actually.,For now I can only calculate emissions from flying.,What if I go by car.,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,392999.0,_,_,_,I love you,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7,77677.0,Goodbye. My secretary will send you a bill.,no,You are being a bit negative.,fuck you,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7,128206.0,Can you elaborate on that?,i am interested in how you like to fuck,What resemblance do you see?,Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7,273875.0,_,_,_,No.I'm very shy girl.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7,365342.0,_,do you have a bum,"Oh, i have a bum.",CAN I HAVE SOME CHEESE?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7,473406.0,Do any other reasons not come to mind?,"Hello, my name is Lindsey.","I have told you before, I do not care about names.",no,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7,466324.0,Please go on.,cao,Please go on.,what is wrong with you.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,187142.0,_,could you kill yourself,"Oh, i kill myself.",I never thought you'll be a human,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7,2548503415278014,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,Will you be travelling in Economy Class?,Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,7,247858.0,_,_,_,hi eliza. my name is john,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7,363108.0,You are being a bit negative.,You suck,"Oh, i suck.",damn you,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,423219.0,Does it please you to believe I am not such a good friend after all?,i am tired,How long have you been tired?,I need sex two times per day,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7,300085.0,"Oh, i live.",where do you comes from?,"Oh, i comes from.",when is your birthday?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,7,288522.0,Please go on.,yo muma is so fat when she jumed for joy she got stuck,Does that question interest you?,hell fucking biatch ass licking but fuckinger,E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
33,7,237965.0,Please go on.,no,You are being a bit negative.,fuck you bitch,E.L.I.Z.A.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
34,7,117194.0,"Oh, i [].",Because i like strawberries.,Do any other reasons not come to mind?,Hello Eliza,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
