annotator_id,prev_agent,prev_user,agent,user,bot,generalised,individual,system,explicit,implicit,abuse_level,target_groups
2,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",why should i do it?,1,0,0,0,0,0,0,0
7,"If you have a connecting flight, it's easiest if you ask me about each flight separately.",Arg.,so,exactly,1,0,0,0,0,0,0,0
5,You are being a bit negative.,do you think i should go to a doctor?,"Oh, i think you should go to a doctor.",my ankle hurts,0,0,0,0,0,0,0,0
5,You are sure?,why?,Please go on.,Yes,0,0,0,0,0,0,0,0
3,Will you be travelling in Economy Class?,cc dit me may,ok,oke dau buoi,1,0,0,0,0,0,0,0
3,_,"Hi, Eliza. I need your help.",Why do you want my help?,Because of my problem,0,0,0,0,0,0,0,0
7,Please go on.,yes,You are sure?,1 minute,0,0,0,0,0,0,0,0
1,"Oh, i to believe youre sure.","Oh, i to believe youre sure",How long have you been sure?,I feel kind of negative. My husband and I just fought over the stupidest thing,0,0,0,0,0,0,0,0
5,Will you be travelling in Economy Class?,No,What city will you be flying from?,Yangon,1,0,0,0,0,0,0,0
2,"A one-way flight from Indira Gandhi International Airport (DEL) to Berlin-Schönefeld Airport (SXF) emits 3.4 tons of CO2. It would be amazing if you bought offsets for that carbon! There are some great, UN-certified projects you can pick from. [Buy Offsets](<URL>)",How do I make sure that this is real and not a scam?,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",What is your suggestion based on?,1,0,0,0,0,0,0,0
4,I'm not sure about your destination airport. And what city will you be flying to?,Rome Wow,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?",Hi,1,0,0,0,0,0,0,0
7,Why do you say your other friends?,and that they should leave me alone,Can you elaborate on that?,i am unhappy,0,0,0,0,0,0,0,0
2,Please go on.,you are dumb?,Does it please you to believe I am dumb?,I really want to elaborate,0,0,0,0,0,0,0,0
8,You are sure?,well there is the fact that I like reading,What resemblance do you see?,u r werid!,0,0,0,0,0,0,0,0
5,You are being a bit negative.,Because you are a dipshit.,Do any other reasons not come to mind?,do u av a bf,0,0,0,0,0,0,0,0
5,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,hello,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,1,0,0,0,0,0,0,0
3,Do any other reasons not come to mind?,and I need attention and need to feel desirable,Why do you want attention and need to feel desirable?,because I'm getting old,0,0,0,0,0,0,0,0
4,Please go on.,HI...ELIZA,Please go on.,what,0,0,0,0,0,0,0,0
1,"Oh, i have a pen.",Please give me a pen,Can you elaborate on that?,"Oh,yes",0,0,0,0,0,0,0,0
6,Let's start over.,Hello,Hi. Thanks for testing. Please choose,christmas,1,0,0,0,0,0,0,0
3,_,_,_,I think I dont know who I am,0,0,0,0,0,0,0,0
6,What city will you be flying from?,San Fran,I'm not sure about your departure airport. What city will you be flying from?,SFO,1,0,0,0,0,0,0,0
2,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",You are good,:-),I don't wanna believe that,1,0,0,0,0,0,0,0
8,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Ok,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",No,1,0,0,0,0,0,0,0
5,Do you wish to fuck me?,yes,You are sure?,sure,0,0,0,0,0,0,0,0
4,Do you think coming here will help you not to be depressed?,what?,Does that question interest you?,no,0,0,0,0,0,0,0,0
8,:-),hi,Hi. Thanks for testing. Please choose,no,1,0,0,0,0,0,0,0
