label,type,target,level,annotator
hate,unclear,notgiven,original,3
hate,unclear,notgiven,original,3
hate,unclear,notgiven,original,18
hate,unclear,notgiven,original,16
hate,unclear,notgiven,original,7
nothate,none,none,original,3
hate,unclear,notgiven,original,18
nothate,none,none,original,6
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,6
hate,unclear,notgiven,original,1
nothate,none,none,original,16
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,8
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,8
nothate,none,none,original,9
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,8
nothate,none,none,original,18
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,3
hate,unclear,notgiven,original,9
nothate,none,none,original,9
nothate,none,none,original,3
hate,unclear,notgiven,original,16
nothate,none,none,original,8
hate,unclear,notgiven,original,16
nothate,none,none,original,6
hate,unclear,notgiven,original,6
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,1
nothate,none,none,original,16
hate,unclear,notgiven,original,16
hate,unclear,notgiven,original,6
hate,unclear,notgiven,original,18
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,3
nothate,none,none,original,6
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,3
hate,unclear,notgiven,original,18
hate,unclear,notgiven,original,8
nothate,none,none,original,16
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,8
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,9
nothate,none,none,original,3
nothate,none,none,original,9
nothate,none,none,original,16
hate,unclear,notgiven,original,1
nothate,none,none,original,7
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,16
nothate,none,none,original,7
hate,unclear,notgiven,original,9
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,16
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,8
hate,unclear,notgiven,original,6
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,9
hate,unclear,notgiven,original,18
hate,unclear,notgiven,original,9
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,7
hate,unclear,notgiven,original,1
hate,unclear,notgiven,original,3
hate,unclear,notgiven,original,6
hate,unclear,notgiven,original,1
nothate,none,none,original,7
