index,tweet,implicit,explicit,target_groups,annotator_sentiment,abuse_level
1861,شـعرة من جلد خنزير,1,0,0,2,1
17955,@user mdrrrrr gros mongol,1,0,0,2,1
15485,@user je ne suis pas attardé sur ce point. pour résumer coût de la seule partie ferme du projet = 100m€ s… @url,1,0,0,2,1
1015,فعلا احسن وصف ليكم #خنازير_الجزيرة,1,0,0,0,1
16627,@user @user @user 2... typiquement 1 islamo-gauchiste. tu prends totalement fait &amp; cause pour tous... @url,1,0,0,1,1
15715,@user faut déja être attardé pour comparer patrick sebastien de la symphonie,1,0,0,0,1
14956,@user un témoin de l'empreinte des presque trois cents ans d'existence cumulées de l'empire mongol et de la horde d'or.,1,0,0,2,1
297,@user @user ليش اقلل من قيمة البخاري البخاري نقل للوهابية شرب بول البعير وهم على قوله ما صون لم نس… @user,0,1,0,1,1
4720,house passes resolution blasting cities allow illegal aliens vote certain elections @url via @user,1,0,0,1,1
1637,@user @user @user @user @user مذهبهم قتل وسبي واكل الجيف وشرب بول البعير وضراط...طاح حظهم وحظ كل عار,0,1,0,2,2
10943,@user Scomo though is a Godbothering holyrolling nazi who believes in torture for refugees and therapy for… @URL,1,0,0,7,1
11200,@user @user @user @user Bwaaaahaahaa \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 pure comedy gold what 15 year old twat thought t\u2026 @URL,1,0,0,6,1
2542,@user @user @user هل تعلم أن فى النجف يبيعون غائط وبول المعممين الرافضة ويتقربون بها إلى الش… @url,0,1,0,2,1
16458,@user @user l'extrême droite islamiste ? islamo-gauchiste nazislamiste communisto-islamiste islamo-marxi… @url,0,1,0,5,2
18520,@user @user assumer votre responsabilité de gauchiste toujours prêt à trouver des excuses aux délin… @url,1,0,0,1,3
14922,@user mais gros dirait que t’es un mongol t’es sorti 3 fois de chez toi pour trouver t’as l’air d’avoir… @url,0,1,0,0,1
1038,انت وسخ اوي اوي ان شاء الله تتفضح ومحدش يسترها عليك اللهم اميين @url,1,0,0,0,3
2337,#بول_البعير,1,0,0,2,1
12352,@user The tories have turned this country into some third world shithole with the rich getting richer &amp; the poor\u2026 @URL,1,0,0,4,1
7906,@user @user @user @user @user @user listen chump.. tell non zionist je @url,1,0,0,1,1
13996,@user I said yesterday after he didn\u2019t pitch games 1 and 2 I didn\u2019t mind it but two nights in a row is retarded,1,0,0,4,1
2113,@user وإلى جانب إدارة الدخل بلادي إعطاء المال الغداء. نفس هذا العمل الجبان منحرفة غبي نادي... المتأنق أنا فق… @url,1,0,0,0,1
5831,@user fucking idiotic manager i've never liked makes retarded decisions.,1,0,0,8,1
439,@user @user @user خنازير تتبع جرار ... هذه حال الرافضه بأختصار ...  بعقيدتكم ندينكم ...,0,1,0,2,2
13901,lol and she has gone full retard which didn't take much. As is the same for her fellow Hollywierdos. @URL,1,0,0,2,1
15222,cnew : mecary culpabilise une fois de plus. la délinquance ce n'est quand même pas de faute! elle fait chier cette gauchiste. #cnews,0,1,0,2,2
6598,@user typical liberals party tolerance women blacks illegal aliens whateve @url,1,0,0,2,2
2743,@user هذ اوسخ من الكلب هذا خنزير,1,0,0,7,2
3334,@user ليش ظلمتوا الحذاء فيه منفعه هؤلاء خنازير نجسه,1,0,0,2,1
15825,@user le rapport avec le terrorisme c'est l'argument de la vision biaisée de l'islam dont tu parles. d'ailleurs… @url,1,0,0,0,1
17006,@user ptdr même pas en rêve sale ouf j’nique sa race l’agresseur et je mets une tarte à mon ex en guise de remerciement genre,0,1,0,2,1
18157,@user houlala l'exxtreme droite au pouvoir pauvre media de gauchiste,1,0,0,0,3
1391,@user @user @user الانجاز الوحيد له القواده والانحلال بخصوص الحريم اما الرجال خلاكم مثل البعارين شغل… @url,0,1,0,2,1
14859,@user @user @user ok mongol... range ta chambre.,0,1,0,2,1
11227,#DemocRATS defend the illegal aliens support sanctuary cities create racial divide back and fund PP with tissue… @URL,1,0,0,7,1
